NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                      MESSAGE
default                       30m         Warning   InvalidDiskCapacity                      node/gke-dencer-play-default-pool-846d4868-hvpx             invalid capacity 0 on image filesystem
default                       30m         Normal    NodeAllocatableEnforced                  node/gke-dencer-play-default-pool-846d4868-hvpx             Updated Node Allocatable limit across pods
default                       30m         Normal    Starting                                 node/gke-dencer-play-default-pool-846d4868-hvpx             Starting kubelet.
default                       30m         Warning   ReadOnlyFileSystemDetected               node/gke-dencer-play-default-pool-846d4868-t20r             
default                       30m         Normal    NodeHasNoDiskPressure                    node/gke-dencer-play-default-pool-846d4868-r3pj             Node gke-dencer-play-default-pool-846d4868-r3pj status is now: NodeHasNoDiskPressure
default                       30m         Normal    NodeHasSufficientPID                     node/gke-dencer-play-default-pool-846d4868-r3pj             Node gke-dencer-play-default-pool-846d4868-r3pj status is now: NodeHasSufficientPID
kube-system                   30m         Normal    Pulled                                   pod/kube-proxy-gke-dencer-play-default-pool-846d4868-hvpx   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
default                       30m         Normal    Starting                                 node/gke-dencer-play-default-pool-846d4868-kzdf             Starting kubelet.
default                       30m         Normal    NodeHasSufficientMemory                  node/gke-dencer-play-default-pool-846d4868-r3pj             Node gke-dencer-play-default-pool-846d4868-r3pj status is now: NodeHasSufficientMemory
default                       30m         Warning   NodeRegistrationCheckerStart             node/gke-dencer-play-default-pool-846d4868-hvpx             Sat Aug 15 16:04:45 UTC 2026 - ** Starting Node Registration Checker **
default                       30m         Normal    NodeAllocatableEnforced                  node/gke-dencer-play-default-pool-846d4868-sbb6             Updated Node Allocatable limit across pods
default                       30m         Normal    NodeAllocatableEnforced                  node/gke-dencer-play-default-pool-846d4868-kzdf             Updated Node Allocatable limit across pods
default                       30m         Normal    Starting                                 node/gke-dencer-play-default-pool-846d4868-tst6             Starting kubelet.
default                       30m         Warning   InvalidDiskCapacity                      node/gke-dencer-play-default-pool-846d4868-tst6             invalid capacity 0 on image filesystem
kube-system                   30m         Normal    Created                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-hvpx   Container created
default                       30m         Warning   InvalidDiskCapacity                      node/gke-dencer-play-default-pool-846d4868-kzdf             invalid capacity 0 on image filesystem
kube-system                   30m         Normal    Started                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-hvpx   Container started
default                       30m         Normal    Starting                                 node/gke-dencer-play-default-pool-846d4868-sbb6             Starting kubelet.
default                       30m         Warning   InvalidDiskCapacity                      node/gke-dencer-play-default-pool-846d4868-sbb6             invalid capacity 0 on image filesystem
default                       30m         Warning   KubeletStart                             node/gke-dencer-play-default-pool-846d4868-hvpx             Started kubelet.service.
kube-system                   30m         Normal    Pulled                                   pod/kube-proxy-gke-dencer-play-default-pool-846d4868-sbb6   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
kube-system                   30m         Normal    Started                                  pod/kube-proxy-gke-dencer-play-default-pool-846d4868-kzdf   Container started
kube-system                   30m         Normal    Pulled                                   pod/kube-proxy-gke-dencer-play-default-pool-846d4868-kzdf   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
default                       30m         Warning   NodeSysctlChange                         node/gke-dencer-play-default-pool-846d4868-hvpx             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
