NAMESPACE                     LAST SEEN   TYPE      REASON                         OBJECT                                                      MESSAGE
default                       4m24s       Warning   NodeSysctlChange               node/gke-dencer-play-default-pool-846d4868-hvpx             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       4m24s       Warning   ContainerdStart                node/gke-dencer-play-default-pool-846d4868-hvpx             Starting containerd.service...
kube-system                   4m24s       Normal    Created                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-kzdf   Container created
kube-system                   4m24s       Normal    Pulled                         pod/kube-proxy-gke-dencer-play-default-pool-846d4868-kzdf   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
default                       4m23s       Warning   NodeSysctlChange               node/gke-dencer-play-default-pool-846d4868-kzdf             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
kube-system                   4m23s       Normal    Started                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-sbb6   Container started
kube-system                   4m23s       Normal    Created                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-sbb6   Container created
default                       4m23s       Warning   NodeRegistrationCheckerStart   node/gke-dencer-play-default-pool-846d4868-kzdf             Sat Aug 15 16:04:46 UTC 2026 - ** Starting Node Registration Checker **
default                       4m23s       Warning   ContainerdStart                node/gke-dencer-play-default-pool-846d4868-kzdf             Starting containerd.service...
default                       4m23s       Warning   DockerStart                    node/gke-dencer-play-default-pool-846d4868-kzdf             Starting docker.service...
default                       4m23s       Warning   KubeletStart                   node/gke-dencer-play-default-pool-846d4868-kzdf             Started kubelet.service.
default                       4m22s       Warning   ReadOnlyFileSystemDetected     node/gke-dencer-play-default-pool-846d4868-hvpx             
kube-system                   4m22s       Normal    Pulled                         pod/kube-proxy-gke-dencer-play-default-pool-846d4868-tst6   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
kube-system                   4m22s       Normal    Created                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-tst6   Container created
default                       4m22s       Normal    NodeHasSufficientPID           node/gke-dencer-play-default-pool-846d4868-t20r             Node gke-dencer-play-default-pool-846d4868-t20r status is now: NodeHasSufficientPID
default                       4m21s       Normal    NodeHasSufficientPID           node/gke-dencer-play-default-pool-846d4868-sbb6             Node gke-dencer-play-default-pool-846d4868-sbb6 status is now: NodeHasSufficientPID
default                       4m21s       Normal    NodeHasNoDiskPressure          node/gke-dencer-play-default-pool-846d4868-sbb6             Node gke-dencer-play-default-pool-846d4868-sbb6 status is now: NodeHasNoDiskPressure
kube-system                   4m21s       Normal    Started                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-tst6   Container started
default                       4m21s       Normal    NodeHasSufficientMemory        node/gke-dencer-play-default-pool-846d4868-sbb6             Node gke-dencer-play-default-pool-846d4868-sbb6 status is now: NodeHasSufficientMemory
default                       4m21s       Warning   ReadOnlyFileSystemDetected     node/gke-dencer-play-default-pool-846d4868-kzdf             
default                       4m21s       Normal    NodeHasSufficientMemory        node/gke-dencer-play-default-pool-846d4868-hvpx             Node gke-dencer-play-default-pool-846d4868-hvpx status is now: NodeHasSufficientMemory
default                       4m21s       Normal    NodeHasNoDiskPressure          node/gke-dencer-play-default-pool-846d4868-hvpx             Node gke-dencer-play-default-pool-846d4868-hvpx status is now: NodeHasNoDiskPressure
default                       4m21s       Normal    NodeHasSufficientMemory        node/gke-dencer-play-default-pool-846d4868-t20r             Node gke-dencer-play-default-pool-846d4868-t20r status is now: NodeHasSufficientMemory
default                       4m21s       Normal    NodeHasNoDiskPressure          node/gke-dencer-play-default-pool-846d4868-t20r             Node gke-dencer-play-default-pool-846d4868-t20r status is now: NodeHasNoDiskPressure
default                       4m21s       Normal    NodeHasSufficientPID           node/gke-dencer-play-default-pool-846d4868-hvpx             Node gke-dencer-play-default-pool-846d4868-hvpx status is now: NodeHasSufficientPID
default                       4m19s       Normal    NodeHasSufficientPID           node/gke-dencer-play-default-pool-846d4868-tst6             Node gke-dencer-play-default-pool-846d4868-tst6 status is now: NodeHasSufficientPID
default                       4m18s       Normal    NodeHasSufficientMemory        node/gke-dencer-play-default-pool-846d4868-tst6             Node gke-dencer-play-default-pool-846d4868-tst6 status is now: NodeHasSufficientMemory
