NAMESPACE                     LAST SEEN   TYPE      REASON                         OBJECT                                                      MESSAGE
kube-system                   2m47s       Normal    Scheduled                      pod/node-local-dns-n9rgj                                    Successfully assigned kube-system/node-local-dns-n9rgj to gke-dencer-play-default-pool-846d4868-hvpx
gmp-system                    2m47s       Warning   FailedMount                    pod/collector-vvkm4                                         MountVolume.SetUp failed for volume "kube-api-access-rq95k" : object "gmp-system"/"kube-root-ca.crt" not registered
gmp-system                    2m47s       Warning   NetworkNotReady                pod/collector-gz6q2                                         network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
gmp-system                    2m47s       Warning   FailedMount                    pod/collector-zzbjt                                         MountVolume.SetUp failed for volume "collection-secret" : object "gmp-system"/"collection" not registered
gmp-system                    2m47s       Warning   FailedMount                    pod/collector-zzbjt                                         MountVolume.SetUp failed for volume "kube-api-access-bljg9" : object "gmp-system"/"kube-root-ca.crt" not registered
gmp-system                    2m47s       Warning   FailedMount                    pod/collector-zzbjt                                         MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
kube-system                   2m47s       Normal    SuccessfulCreate               daemonset/gke-metrics-agent                                 Created pod: gke-metrics-agent-phgj4
kube-system                   2m47s       Normal    Pulling                        pod/fluentbit-gke-mrh4l                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
kube-system                   2m47s       Normal    Scheduled                      pod/metrics-server-v1.35.1-77d8df7694-qgkj2                 Successfully assigned kube-system/metrics-server-v1.35.1-77d8df7694-qgkj2 to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   2m47s       Normal    SuccessfulCreate               daemonset/node-local-dns                                    Created pod: node-local-dns-n9rgj
default                       2m47s       Normal    Synced                         node/gke-dencer-play-default-pool-846d4868-tst6             Node synced successfully
kube-system                   2m47s       Normal    Pulling                        pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.8@sha256:437ad59d9fe3b37db75e0c1f5d74fe227abbba720bde166f52f3d71096b69aaf"
kube-system                   2m47s       Normal    SuccessfulCreate               daemonset/node-local-dns                                    Created pod: node-local-dns-9mnnz
default                       2m47s       Normal    Synced                         node/gke-dencer-play-default-pool-846d4868-hvpx             Node synced successfully
kube-system                   2m47s       Normal    Pulling                        pod/kube-dns-7ddbc8bb55-mh9vz                               Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260412.00_p0@sha256:10a31e4c4338b37a10dbf4dfeaabd58a95b711e59abb740de628c32748184831"
kube-system                   2m47s       Normal    Scheduled                      pod/gke-metrics-agent-phgj4                                 Successfully assigned kube-system/gke-metrics-agent-phgj4 to gke-dencer-play-default-pool-846d4868-hvpx
kube-system                   2m47s       Normal    SuccessfulCreate               daemonset/fluentbit-gke                                     Created pod: fluentbit-gke-xsv2x
gmp-system                    2m47s       Normal    Scheduled                      pod/alertmanager-0                                          Successfully assigned gmp-system/alertmanager-0 to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   2m47s       Normal    SuccessfulCreate               daemonset/fluentbit-gke                                     Created pod: fluentbit-gke-h2s7t
kube-system                   2m46s       Normal    Created                        pod/gke-metrics-agent-g75wp                                 Container created
kube-system                   2m46s       Normal    Created                        pod/fluentbit-gke-mrh4l                                     Container created
kube-system                   2m46s       Normal    Pulling                        pod/gke-metrics-agent-g75wp                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   2m46s       Normal    SuccessfulCreate               daemonset/node-local-dns                                    Created pod: node-local-dns-cv5l9
kube-system                   2m46s       Normal    Pulled                         pod/fluentbit-gke-mrh4l                                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" in 521ms (521ms including waiting). Image size: 2927935 bytes.
kube-system                   2m46s       Normal    Started                        pod/fluentbit-gke-mrh4l                                     Container started
kube-system                   2m46s       Normal    Pulled                         pod/gke-metrics-agent-g75wp                                 Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" in 543ms (543ms including waiting). Image size: 2929568 bytes.
kube-system                   2m46s       Normal    Started                        pod/gke-metrics-agent-kzwbc                                 Container started
kube-system                   2m46s       Normal    SuccessfulCreate               daemonset/gke-metrics-agent                                 Created pod: gke-metrics-agent-w6bm6
gmp-system                    2m46s       Warning   FailedMount                    pod/collector-gz6q2                                         MountVolume.SetUp failed for volume "kube-api-access-pwcr8" : object "gmp-system"/"kube-root-ca.crt" not registered
gmp-system                    2m46s       Warning   FailedMount                    pod/collector-gz6q2                                         MountVolume.SetUp failed for volume "collection-secret" : object "gmp-system"/"collection" not registered
gmp-system                    2m46s       Warning   FailedMount                    pod/collector-vvkm4                                         MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
gmp-system                    2m46s       Warning   FailedMount                    pod/collector-vvkm4                                         MountVolume.SetUp failed for volume "collection-secret" : object "gmp-system"/"collection" not registered
gmp-system                    2m46s       Warning   FailedMount                    pod/collector-gz6q2                                         MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
kube-system                   2m46s       Normal    Started                        pod/event-exporter-gke-7c667c5978-z7t29                     Container started
kube-system                   2m46s       Normal    Created                        pod/event-exporter-gke-7c667c5978-z7t29                     Container created
kube-system                   2m46s       Normal    Pulling                        pod/metrics-server-v1.35.1-868d466bb6-87wrc                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.22@sha256:b1da1669baf6adceea89154a4d4aef6855f22d97218dab8e615cd479398a013a"
kube-system                   2m46s       Normal    Scheduled                      pod/node-local-dns-cv5l9                                    Successfully assigned kube-system/node-local-dns-cv5l9 to gke-dencer-play-default-pool-846d4868-tst6
kube-system                   2m46s       Normal    Pulling                        pod/metrics-server-v1.35.1-77d8df7694-qgkj2                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/metrics-server:v0.8.0-gke.22@sha256:b1da1669baf6adceea89154a4d4aef6855f22d97218dab8e615cd479398a013a"
kube-system                   2m46s       Normal    Scheduled                      pod/gke-metrics-agent-w6bm6                                 Successfully assigned kube-system/gke-metrics-agent-w6bm6 to gke-dencer-play-default-pool-846d4868-kzdf
kube-system                   2m46s       Normal    Pulled                         pod/gke-metrics-agent-kzwbc                                 Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df" already present on machine and can be accessed by the pod
kube-system                   2m46s       Normal    Pulled                         pod/gke-metrics-agent-kzwbc                                 Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df" in 2.59s (2.59s including waiting). Image size: 31395961 bytes.
kube-system                   2m46s       Normal    Created                        pod/gke-metrics-agent-kzwbc                                 Container created
kube-system                   2m45s       Normal    Pulled                         pod/node-local-dns-n9rgj                                    Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c" in 559ms (559ms including waiting). Image size: 3374191 bytes.
kube-system                   2m45s       Normal    Started                        pod/fluentbit-gke-h2s7t                                     Container started
kube-system                   2m45s       Normal    Started                        pod/gke-metrics-agent-kzwbc                                 Container started
kube-system                   2m45s       Normal    Pulling                        pod/gke-metrics-agent-kzwbc                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5"
kube-system                   2m45s       Normal    Pulling                        pod/fluentbit-gke-xsv2x                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
kube-system                   2m45s       Normal    Pulling                        pod/gke-metrics-agent-phgj4                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   2m45s       Normal    Pulling                        pod/node-local-dns-cv5l9                                    Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c"
kube-system                   2m45s       Normal    Pulling                        pod/node-local-dns-9mnnz                                    Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c"
kube-system                   2m45s       Normal    Pulling                        pod/l7-default-backend-7d8d77ff56-m94pq                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/ingress-gce-404-server-with-metrics:v1.38.7@sha256:bce3b45becb05edaf0fbac1159453a3a1e4d6407be41347f9a8f0114a1b61487"
kube-system                   2m45s       Normal    Scheduled                      pod/l7-default-backend-7d8d77ff56-m94pq                     Successfully assigned kube-system/l7-default-backend-7d8d77ff56-m94pq to gke-dencer-play-default-pool-846d4868-kzdf
kube-system                   2m45s       Normal    Pulling                        pod/gke-metrics-agent-w6bm6                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   2m45s       Normal    Pulling                        pod/event-exporter-gke-7c667c5978-z7t29                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/event-exporter:event-exporter-v0.5.12-gke.11@sha256:f99dde5a232de12723e3d46f1289fbbc0be2855b15709094f512341183e9f88d"
kube-system                   2m45s       Normal    Created                        pod/node-local-dns-n9rgj                                    Container created
kube-system                   2m45s       Normal    Pulling                        pod/node-local-dns-n9rgj                                    Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c"
kube-system                   2m45s       Normal    Pulling                        pod/gke-metrics-agent-g75wp                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df"
kube-system                   2m45s       Normal    Started                        pod/gke-metrics-agent-g75wp                                 Container started
kube-system                   2m45s       Normal    Pulling                        pod/fluentbit-gke-mrh4l                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e"
kube-system                   2m45s       Normal    Created                        pod/gke-metrics-agent-kzwbc                                 Container created
kube-system                   2m45s       Normal    Pulled                         pod/node-local-dns-mwwng                                    Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c" in 1.173s (1.794s including waiting). Image size: 3374191 bytes.
kube-system                   2m45s       Normal    Created                        pod/node-local-dns-mwwng                                    Container created
kube-system                   2m45s       Normal    Pulling                        pod/fluentbit-gke-h2s7t                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
kube-system                   2m45s       Normal    Started                        pod/node-local-dns-mwwng                                    Container started
kube-system                   2m45s       Normal    Pulled                         pod/fluentbit-gke-h2s7t                                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" in 423ms (423ms including waiting). Image size: 2927935 bytes.
kube-system                   2m45s       Normal    Created                        pod/fluentbit-gke-h2s7t                                     Container created
kube-system                   2m44s       Normal    Pulled                         pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.3-gke.8@sha256:437ad59d9fe3b37db75e0c1f5d74fe227abbba720bde166f52f3d71096b69aaf" in 1.199s (2.973s including waiting). Image size: 13824914 bytes.
kube-system                   2m44s       Normal    Scheduled                      pod/pdcsi-node-f9pt9                                        Successfully assigned kube-system/pdcsi-node-f9pt9 to gke-dencer-play-default-pool-846d4868-r3pj
kube-system                   2m44s       Normal    Pulled                         pod/fluentbit-gke-h2s7t                                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e" in 523ms (523ms including waiting). Image size: 18877251 bytes.
kube-system                   2m44s       Normal    Pulling                        pod/fluentbit-gke-h2s7t                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e"
kube-system                   2m44s       Normal    Pulling                        pod/pdcsi-node-mbggj                                        Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
kube-system                   2m44s       Normal    Scheduled                      pod/pdcsi-node-mxttg                                        Successfully assigned kube-system/pdcsi-node-mxttg to gke-dencer-play-default-pool-846d4868-tst6
kube-system                   2m44s       Normal    Pulling                        pod/node-local-dns-mwwng                                    Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7"
kube-system                   2m44s       Normal    Started                        pod/node-local-dns-9mnnz                                    Container started
kube-system                   2m44s       Normal    Pulling                        pod/pdcsi-node-mxttg                                        Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
kube-system                   2m44s       Normal    SuccessfulCreate               daemonset/pdcsi-node                                        Created pod: pdcsi-node-mbggj
kube-system                   2m44s       Normal    Created                        pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          Container created
kube-system                   2m44s       Normal    Pulled                         pod/fluentbit-gke-mrh4l                                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e" in 278ms (278ms including waiting). Image size: 18877251 bytes.
kube-system                   2m44s       Normal    Created                        pod/fluentbit-gke-mrh4l                                     Container created
kube-system                   2m44s       Normal    Started                        pod/fluentbit-gke-mrh4l                                     Container started
kube-system                   2m44s       Normal    Pulling                        pod/fluentbit-gke-mrh4l                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45"
kube-system                   2m44s       Normal    Started                        pod/node-local-dns-n9rgj                                    Container started
kube-system                   2m44s       Normal    Pulling                        pod/node-local-dns-n9rgj                                    Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7"
kube-system                   2m44s       Normal    Started                        pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          Container started
kube-system                   2m44s       Normal    Scheduled                      pod/pdcsi-node-gpwj6                                        Successfully assigned kube-system/pdcsi-node-gpwj6 to gke-dencer-play-default-pool-846d4868-kzdf
kube-system                   2m44s       Normal    Pulled                         pod/kube-dns-7ddbc8bb55-mh9vz                               Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260412.00_p0@sha256:10a31e4c4338b37a10dbf4dfeaabd58a95b711e59abb740de628c32748184831" in 233ms (3.002s including waiting). Image size: 3374190 bytes.
kube-system                   2m44s       Normal    Created                        pod/kube-dns-7ddbc8bb55-mh9vz                               Container created
kube-system                   2m44s       Normal    Scheduled                      pod/pdcsi-node-mbggj                                        Successfully assigned kube-system/pdcsi-node-mbggj to gke-dencer-play-default-pool-846d4868-hvpx
kube-system                   2m44s       Normal    SuccessfulCreate               daemonset/pdcsi-node                                        Created pod: pdcsi-node-f9pt9
kube-system                   2m44s       Normal    Created                        pod/gke-metrics-agent-w6bm6                                 Container created
kube-system                   2m44s       Normal    Scheduled                      pod/pdcsi-node-f99j2                                        Successfully assigned kube-system/pdcsi-node-f99j2 to gke-dencer-play-default-pool-846d4868-sbb6
kube-system                   2m44s       Normal    Pulled                         pod/gke-metrics-agent-w6bm6                                 Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" in 848ms (1.468s including waiting). Image size: 2929568 bytes.
kube-system                   2m44s       Normal    SuccessfulCreate               daemonset/pdcsi-node                                        Created pod: pdcsi-node-mxttg
kube-system                   2m44s       Normal    Scheduled                      pod/pdcsi-node-7j7mq                                        Successfully assigned kube-system/pdcsi-node-7j7mq to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   2m44s       Normal    SuccessfulCreate               daemonset/pdcsi-node                                        Created pod: pdcsi-node-gpwj6
kube-system                   2m44s       Normal    SuccessfulCreate               daemonset/pdcsi-node                                        Created pod: pdcsi-node-7j7mq
kube-system                   2m44s       Normal    Started                        pod/gke-metrics-agent-phgj4                                 Container started
kube-system                   2m44s       Normal    Created                        pod/node-local-dns-9mnnz                                    Container created
kube-system                   2m44s       Normal    Pulled                         pod/node-local-dns-9mnnz                                    Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c" in 738ms (738ms including waiting). Image size: 3374191 bytes.
kube-system                   2m44s       Normal    SuccessfulCreate               daemonset/pdcsi-node                                        Created pod: pdcsi-node-f99j2
kube-system                   2m44s       Normal    Created                        pod/gke-metrics-agent-phgj4                                 Container created
kube-system                   2m44s       Normal    Pulled                         pod/gke-metrics-agent-phgj4                                 Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" in 975ms (1.235s including waiting). Image size: 2929568 bytes.
kube-system                   2m44s       Normal    Pulled                         pod/node-local-dns-cv5l9                                    Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c" in 495ms (495ms including waiting). Image size: 3374191 bytes.
kube-system                   2m44s       Normal    Started                        pod/fluentbit-gke-xsv2x                                     Container started
kube-system                   2m44s       Normal    Created                        pod/fluentbit-gke-xsv2x                                     Container created
kube-system                   2m44s       Normal    Pulled                         pod/fluentbit-gke-xsv2x                                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" in 741ms (741ms including waiting). Image size: 2927935 bytes.
kube-system                   2m44s       Normal    Created                        pod/node-local-dns-cv5l9                                    Container created
kube-system                   2m44s       Normal    Started                        pod/node-local-dns-cv5l9                                    Container started
kube-system                   2m44s       Normal    Pulling                        pod/node-local-dns-cv5l9                                    Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7"
kube-system                   2m43s       Normal    Pulled                         pod/fluentbit-gke-gv2zf                                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45" in 4.465s (4.465s including waiting). Image size: 66344763 bytes.
kube-system                   2m43s       Normal    Pulled                         pod/l7-default-backend-7d8d77ff56-m94pq                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/ingress-gce-404-server-with-metrics:v1.38.7@sha256:bce3b45becb05edaf0fbac1159453a3a1e4d6407be41347f9a8f0114a1b61487" in 1.149s (1.497s including waiting). Image size: 7595136 bytes.
kube-system                   2m43s       Normal    Started                        pod/gke-metrics-agent-w6bm6                                 Container started
kube-system                   2m43s       Normal    Scheduled                      pod/konnectivity-agent-7f74769845-kwm7c                     Successfully assigned kube-system/konnectivity-agent-7f74769845-kwm7c to gke-dencer-play-default-pool-846d4868-kzdf
kube-system                   2m43s       Normal    SuccessfulCreate               replicaset/konnectivity-agent-7f74769845                    Created pod: konnectivity-agent-7f74769845-jnwt2
kube-system                   2m43s       Normal    Scheduled                      pod/konnectivity-agent-7f74769845-jnwt2                     Successfully assigned kube-system/konnectivity-agent-7f74769845-jnwt2 to gke-dencer-play-default-pool-846d4868-hvpx
kube-system                   2m43s       Normal    Pulling                        pod/pdcsi-node-7j7mq                                        Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
kube-system                   2m43s       Normal    SuccessfulCreate               replicaset/konnectivity-agent-7f74769845                    Created pod: konnectivity-agent-7f74769845-7m6sq
kube-system                   2m43s       Normal    SuccessfulCreate               replicaset/konnectivity-agent-7f74769845                    Created pod: konnectivity-agent-7f74769845-kwm7c
kube-system                   2m43s       Normal    Started                        pod/kube-dns-7ddbc8bb55-mh9vz                               Container started
kube-system                   2m43s       Normal    Started                        pod/fluentbit-gke-h2s7t                                     Container started
kube-system                   2m43s       Normal    Created                        pod/fluentbit-gke-h2s7t                                     Container created
kube-system                   2m43s       Normal    Pulling                        pod/node-local-dns-9mnnz                                    Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7"
gmp-system                    2m43s       Warning   FailedMount                    pod/collector-hxrzl                                         MountVolume.SetUp failed for volume "collection-secret" : secret "collection" not found
gmp-system                    2m43s       Warning   FailedMount                    pod/collector-hxrzl                                         MountVolume.SetUp failed for volume "config" : configmap "collector" not found
kube-system                   2m43s       Normal    Scheduled                      pod/konnectivity-agent-7f74769845-7m6sq                     Successfully assigned kube-system/konnectivity-agent-7f74769845-7m6sq to gke-dencer-play-default-pool-846d4868-tst6
kube-system                   2m43s       Normal    Pulling                        pod/pdcsi-node-gpwj6                                        Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
kube-system                   2m43s       Normal    Pulling                        pod/fluentbit-gke-xsv2x                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e"
kube-system                   2m43s       Normal    Pulling                        pod/gke-metrics-agent-phgj4                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df"
kube-system                   2m43s       Normal    ScalingReplicaSet              deployment/konnectivity-agent                               Scaled up replica set konnectivity-agent-7f74769845 from 1 to 4
kube-system                   2m43s       Normal    Created                        pod/l7-default-backend-7d8d77ff56-m94pq                     Container created
kube-system                   2m43s       Normal    Started                        pod/l7-default-backend-7d8d77ff56-m94pq                     Container started
kube-system                   2m42s       Normal    Created                        pod/gke-metrics-agent-g75wp                                 Container created
kube-system                   2m42s       Normal    Pulling                        pod/konnectivity-agent-7f74769845-7m6sq                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976"
kube-system                   2m42s       Normal    Created                        pod/fluentbit-gke-gv2zf                                     Container created
kube-system                   2m42s       Normal    Started                        pod/fluentbit-gke-gv2zf                                     Container started
kube-system                   2m42s       Normal    Pulling                        pod/fluentbit-gke-gv2zf                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit-gke-exporter:v0.27.17-gke.20@sha256:67269cb89dbf9cf4e76e199a634c178eec76e74ae45694e8000893f7cae6179e"
kube-system                   2m42s       Normal    Pulling                        pod/gke-metrics-agent-w6bm6                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df"
kube-system                   2m42s       Normal    Pulling                        pod/kube-dns-7ddbc8bb55-mh9vz                               Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd"
kube-system                   2m42s       Normal    Pulling                        pod/fluentbit-gke-h2s7t                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45"
